Date,School,Grade,Did you complete a hands-on program on your visit today?,Tour?,Hands on Program,Stimulate an interest in science among your students?,"Improve your students’ appreciation of math and/or 
science as useful tools?","Reduce your students’ fear and anxiety around tools 
of math & (physical) science?",Change your students’ attitudes towards experimental failure?,Stimulate your students’ curiosity?,Make science and engineering more relevant for your students?,What was the best part of the Hiller Aviation Museum HANDS-ON program?,How could the HANDS-ON program be improved?,What was the best part of the Hiller Aviation Museum TOUR experience?,How could the TOUR experience be improved?,What was the best part of the Hiller Aviation Museum experience?,How could the experience be improved?,"Are you likely to bring students to a Hiller Aviation 
Museum hands-on program again?",Explain:,"Permission to use comments for promotional or 
marketing materials? Yes if blank.",Instructor,Tour Guides,Notes ,Cleaned_Grade,Row_Average
2024-09-24,Nativity School,5,x,x,Storm chasers,Y,Y,,,Y,Y,students loved the different challenges,nothing,guides are very knowledgeable. Students enjoyed the Docents' anecdotes,,all good,,y,My students loved the field trip.  I bring my class every year. they love getting a free ticket to come back with a parent,,Vivian,Albert and larry,,[5],5.0
2024-10-01,Oak Knoll School,"k,1,2",y,,Amazing Aicraft I,Y,y,,y,y,y,"guided clear coloring activity, flying planes",more crayon colors,,,everything,,y,We come every three years for our innovation unit,,,,,"[1, 2]",1.5
2024-10-01,Oak Knoll School,"k,.1.2",y,,Amazing Aicraft I,y,,,,y,y,gettingto learn about parts of an airplane by coloring and getting to build a glider,"would be helpful yo have extra copies of coloring papers and gliders for chaperones/teachers to make to help model for thekids.  Was frustrating for the kide in the back to hear, see, and follow along",,q,"Gettingto fly our gliders outside, simulators, real model airplanes/aircrafts.  Our kids loved how interactive the museum is! everyone who works here is so welcoming.",,y,this field trip has been a favorite for many years..  We have not been here since Covid and it's great,,,,,[],
2024-10-03,Rossinca Heritage School,"k,1,2,3",y,,Amazing Aircraft I,y,,,y,y,y,,,,,,,,,,,,,"[1, 2, 3]",2.0
2024-10-12,Berkeley Public School Fund,5,y,,Amazing Aircraft I,y,y,y,n,y,y,visiting and sitting on the second floor cockpit.,It was good,,,The whole experience was hands on and prompted the students to participate i n a creative way,,y,Te experience for 5th graders was awesome and engaging,,,,,[5],5.0
2024-10-12,Berkeley Public School Fund,5,y,,Amazing Aircraft I,y,y,,y,y,y,,,,,A;l the history.  The story of aviation is in full display.  Love all the hands on activities,,y,Yes for all the above reasons,,,,,[5],5.0
2024-10-12,Berkeley Public School Fund,5,y,,Amazing Aircraft I,y,y,y,y,y,y,Good for kids that were able t roam around.  Different types of hands on activities.,Maybe have staff roamng around to answer the questions kids might have,,,A lot of different stations/activities.  Clean space nice artifacts.,,y,Great learning experience for kids.  Stations/actovities provide great information.,,,,,[5],5.0
2024-10-12,Berkeley Public School Fund,5,y,,Amazing Aircraft I,Y,y,y,y,y,y,The simulation,The aviation staff could be more knowledgeable and energetic.  They are young so I understand.,,,The ability to go into the cockpits,,y,I would bring my son so he can see and play with the stuff.,,,,,[5],5.0
2024-10-17,San Francisco Christian School,5,y,,Flight Simulator lab,y,y,y,y,y,y,The simulatr experience,,q,,,,y,,,,,,[5],5.0
2024-10-17,Hillsdale High Bay Academy,9,,,,,,,,,,Parachutes and outside airplane,,,,,,y,Yearly trip.  Love the Halloween decorations10/21/2024,,,,,[9],9.0
2024-10-21,Beechwood School,4,y,,Amazing Aicraft I and Flight Simulator lab,y,y,y,y,y,y,"Flight simulator: using different planes, landing, working the controls",Pretty awesome all around,,,Museum is cool duringHalloween.  Clean and organized.  Love the teachers,all good,y,It is always a pleasure,Aidan,,,,[4],4.0
2024-10-22,Eldridge Elementary,"1,2",y,y,Amazing Aircraft I,y,y,y,y,y,y,The kids enjoyed it very much,Great as is,Kids learn what we don't,Great as is,"Kind staff, wonderful class",,y,,,,,,"[1, 2]",1.5
2024-10-22,Eldridge Elementary,"1,2",y,y,Amazing Aircraft I,y,y,y,y,y,y,Aidan was an excellent teacher and led the class extremly well.  They were very engaged,The group near us was very loud - perhaps spacing.  We were late so perhaps that led to the overlap,The guide taking us to the 747 out back and explaining it.,Could be a bit longer to cover more material,The class and tour before free exploration are ideal for students to fully appreciate the museum.,,Y,Amazing field trip experience.  We appreciate it being free,,John,,,"[1, 2]",1.5
2024-10-22,Mercy High School,,y,y,Flight Simulator Lab,y,y,,y,y,y,Comparing drawing to the Fokker DR1,,We really mostly did the Sims plus the workshop both fabulous,If only we had more time,Visiting the shop and matching drawings to the plane,,Y,Engineering class.  Will likely do this each year,,Abby,Abby,,[],
